"id","data","content"
17474,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""09"",""codUnidade"":""01"",""codFuncao"":""10"",""codSubFuncao"":""302"",""naturezaAcao"":""3"",""nroProjAtiv"":""322"",""codNaturezaDaDespesa"":""339039"",""recurso"":""000000366667,25"",""nroSequencial"":""000003"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""09"",""codUnidade"":""01"",""codFuncao"":""10"",""codSubFuncao"":""302"",""naturezaAcao"":""3"",""nroProjAtiv"":""322"",""codNaturezaDaDespesa"":""339039"",""codFontRecursos"":""100"",""valorFonte"":""000000366667,25"",""valorFonteImpositiva"":""000000366667,25"",""nroSequencial"":""000004"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17475,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""11"",""codUnidade"":""04"",""codFuncao"":""08"",""codSubFuncao"":""122"",""naturezaAcao"":""3"",""nroProjAtiv"":""323"",""codNaturezaDaDespesa"":""335043"",""recurso"":""000000111500,00"",""nroSequencial"":""000005"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""11"",""codUnidade"":""04"",""codFuncao"":""08"",""codSubFuncao"":""122"",""naturezaAcao"":""3"",""nroProjAtiv"":""323"",""codNaturezaDaDespesa"":""335043"",""codFontRecursos"":""100"",""valorFonte"":""000000111500,00"",""valorFonteImpositiva"":""000000111500,00"",""nroSequencial"":""000006"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17476,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""11"",""codUnidade"":""04"",""codFuncao"":""08"",""codSubFuncao"":""122"",""naturezaAcao"":""3"",""nroProjAtiv"":""323"",""codNaturezaDaDespesa"":""339039"",""recurso"":""000000058000,00"",""nroSequencial"":""000007"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""11"",""codUnidade"":""04"",""codFuncao"":""08"",""codSubFuncao"":""122"",""naturezaAcao"":""3"",""nroProjAtiv"":""323"",""codNaturezaDaDespesa"":""339039"",""codFontRecursos"":""100"",""valorFonte"":""000000058000,00"",""valorFonteImpositiva"":""000000058000,00"",""nroSequencial"":""000008"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17477,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""11"",""codUnidade"":""04"",""codFuncao"":""08"",""codSubFuncao"":""122"",""naturezaAcao"":""3"",""nroProjAtiv"":""323"",""codNaturezaDaDespesa"":""449051"",""recurso"":""000000060665,00"",""nroSequencial"":""000009"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""11"",""codUnidade"":""04"",""codFuncao"":""08"",""codSubFuncao"":""122"",""naturezaAcao"":""3"",""nroProjAtiv"":""323"",""codNaturezaDaDespesa"":""449051"",""codFontRecursos"":""100"",""valorFonte"":""000000060665,00"",""valorFonteImpositiva"":""000000060665,00"",""nroSequencial"":""000010"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17478,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""20"",""codUnidade"":""01"",""codFuncao"":""12"",""codSubFuncao"":""361"",""naturezaAcao"":""3"",""nroProjAtiv"":""324"",""codNaturezaDaDespesa"":""339039"",""recurso"":""000000026500,00"",""nroSequencial"":""000011"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""20"",""codUnidade"":""01"",""codFuncao"":""12"",""codSubFuncao"":""361"",""naturezaAcao"":""3"",""nroProjAtiv"":""324"",""codNaturezaDaDespesa"":""339039"",""codFontRecursos"":""100"",""valorFonte"":""000000026500,00"",""valorFonteImpositiva"":""000000026500,00"",""nroSequencial"":""000012"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17479,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""20"",""codUnidade"":""01"",""codFuncao"":""12"",""codSubFuncao"":""361"",""naturezaAcao"":""3"",""nroProjAtiv"":""324"",""codNaturezaDaDespesa"":""449051"",""recurso"":""000000030000,00"",""nroSequencial"":""000013"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""20"",""codUnidade"":""01"",""codFuncao"":""12"",""codSubFuncao"":""361"",""naturezaAcao"":""3"",""nroProjAtiv"":""324"",""codNaturezaDaDespesa"":""449051"",""codFontRecursos"":""100"",""valorFonte"":""000000030000,00"",""valorFonteImpositiva"":""000000030000,00"",""nroSequencial"":""000014"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17480,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""22"",""codUnidade"":""22"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""3"",""nroProjAtiv"":""325"",""codNaturezaDaDespesa"":""339030"",""recurso"":""000000030000,00"",""nroSequencial"":""000015"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""22"",""codUnidade"":""22"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""3"",""nroProjAtiv"":""325"",""codNaturezaDaDespesa"":""339030"",""codFontRecursos"":""100"",""valorFonte"":""000000030000,00"",""valorFonteImpositiva"":""000000030000,00"",""nroSequencial"":""000016"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17481,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""22"",""codUnidade"":""22"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""3"",""nroProjAtiv"":""325"",""codNaturezaDaDespesa"":""339039"",""recurso"":""000000010000,00"",""nroSequencial"":""000017"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""22"",""codUnidade"":""22"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""3"",""nroProjAtiv"":""325"",""codNaturezaDaDespesa"":""339039"",""codFontRecursos"":""100"",""valorFonte"":""000000010000,00"",""valorFonteImpositiva"":""000000010000,00"",""nroSequencial"":""000018"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17482,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0300"",""codOrgao"":""22"",""codUnidade"":""22"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""3"",""nroProjAtiv"":""325"",""codNaturezaDaDespesa"":""449052"",""recurso"":""000000040000,00"",""nroSequencial"":""000019"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0300"",""codOrgao"":""22"",""codUnidade"":""22"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""3"",""nroProjAtiv"":""325"",""codNaturezaDaDespesa"":""449052"",""codFontRecursos"":""100"",""valorFonte"":""000000040000,00"",""valorFonteImpositiva"":""000000040000,00"",""nroSequencial"":""000020"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
17483,2025,"{""tipoRegistro"":""10"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""1"",""nroProjAtiv"":""001"",""codNaturezaDaDespesa"":""449051"",""recurso"":""000000010000,00"",""nroSequencial"":""000021"",""content"":[{""tipoRegistro"":""11"",""codPrograma"":""0678"",""codOrgao"":""08"",""codUnidade"":""01"",""codFuncao"":""06"",""codSubFuncao"":""182"",""naturezaAcao"":""1"",""nroProjAtiv"":""001"",""codNaturezaDaDespesa"":""449051"",""codFontRecursos"":""110"",""valorFonte"":""000000010000,00"",""valorFonteImpositiva"":""000000000000,00"",""nroSequencial"":""000022"",""elementoDespesaMSC"":""nan"",""subElementoMSC"":""nan"",""codFontRecursosMSC"":""nan"",""poderOrgao"":""nan"",""codAEO"":""nan"",""ficha"":""nan""}]}"
