"id","content","data"
2419,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125002"",""especificacao"":""IPTU - MULTAS E JUROS"",""vlPrevisto"":""000002000000,00"",""nroSequencial"":""000005"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125002"",""codFontRecursos"":""100"",""vlFontRecursos"":""000001040000,00"",""nroSequencial"":""000006""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125002"",""codFontRecursos"":""101"",""vlFontRecursos"":""000000560000,00"",""nroSequencial"":""000007""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125002"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000400000,00"",""nroSequencial"":""000008""}]}",2025
2420,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125003"",""especificacao"":""IPTU - DIVIDA ATIVA"",""vlPrevisto"":""000022000000,00"",""nroSequencial"":""000009"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125003"",""codFontRecursos"":""100"",""vlFontRecursos"":""000011440000,00"",""nroSequencial"":""000010""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125003"",""codFontRecursos"":""101"",""vlFontRecursos"":""000006160000,00"",""nroSequencial"":""000011""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125003"",""codFontRecursos"":""102"",""vlFontRecursos"":""000004400000,00"",""nroSequencial"":""000012""}]}",2025
2421,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125004"",""especificacao"":""IPTU- DIVIDA ATIVA MULTAS JUROS"",""vlPrevisto"":""000007000000,00"",""nroSequencial"":""000013"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125004"",""codFontRecursos"":""100"",""vlFontRecursos"":""000003640000,00"",""nroSequencial"":""000014""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125004"",""codFontRecursos"":""101"",""vlFontRecursos"":""000001960000,00"",""nroSequencial"":""000015""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125004"",""codFontRecursos"":""102"",""vlFontRecursos"":""000001400000,00"",""nroSequencial"":""000016""}]}",2025
2422,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125301"",""especificacao"":""ITBI-\""INTER VIVOS\""-PRINCIPAL"",""vlPrevisto"":""000020000000,00"",""nroSequencial"":""000017"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125301"",""codFontRecursos"":""100"",""vlFontRecursos"":""000010400000,00"",""nroSequencial"":""000018""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125301"",""codFontRecursos"":""101"",""vlFontRecursos"":""000005600000,00"",""nroSequencial"":""000019""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011125301"",""codFontRecursos"":""102"",""vlFontRecursos"":""000004000000,00"",""nroSequencial"":""000020""}]}",2025
2423,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130311"",""especificacao"":""IRRF-TRABALHO-PRINCIPAL"",""vlPrevisto"":""000032000000,00"",""nroSequencial"":""000021"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130311"",""codFontRecursos"":""100"",""vlFontRecursos"":""000016640000,00"",""nroSequencial"":""000022""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130311"",""codFontRecursos"":""101"",""vlFontRecursos"":""000008960000,00"",""nroSequencial"":""000023""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130311"",""codFontRecursos"":""102"",""vlFontRecursos"":""000006400000,00"",""nroSequencial"":""000024""}]}",2025
2424,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130341"",""especificacao"":""IRRF- OUTROS RENDIMENTOS-PRINCIPAL"",""vlPrevisto"":""000004000000,00"",""nroSequencial"":""000025"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130341"",""codFontRecursos"":""100"",""vlFontRecursos"":""000002080000,00"",""nroSequencial"":""000026""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130341"",""codFontRecursos"":""101"",""vlFontRecursos"":""000001120000,00"",""nroSequencial"":""000027""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011130341"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000800000,00"",""nroSequencial"":""000028""}]}",2025
2425,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145111"",""especificacao"":""ISSQN - PRINCIPAL"",""vlPrevisto"":""000042000000,00"",""nroSequencial"":""000029"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145111"",""codFontRecursos"":""100"",""vlFontRecursos"":""000021840000,00"",""nroSequencial"":""000030""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145111"",""codFontRecursos"":""101"",""vlFontRecursos"":""000011760000,00"",""nroSequencial"":""000031""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145111"",""codFontRecursos"":""102"",""vlFontRecursos"":""000008400000,00"",""nroSequencial"":""000032""}]}",2025
2426,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145112"",""especificacao"":""ISSQN -MULTAS E JUROS"",""vlPrevisto"":""000000800000,00"",""nroSequencial"":""000033"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145112"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000416000,00"",""nroSequencial"":""000034""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145112"",""codFontRecursos"":""101"",""vlFontRecursos"":""000000224000,00"",""nroSequencial"":""000035""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145112"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000160000,00"",""nroSequencial"":""000036""}]}",2025
2427,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145113"",""especificacao"":""ISSQN - DIVIDA ATIVA"",""vlPrevisto"":""000000700000,00"",""nroSequencial"":""000037"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145113"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000364000,00"",""nroSequencial"":""000038""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145113"",""codFontRecursos"":""101"",""vlFontRecursos"":""000000196000,00"",""nroSequencial"":""000039""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145113"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000140000,00"",""nroSequencial"":""000040""}]}",2025
2428,"{""tipoRegistro"":""10"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145114"",""especificacao"":""ISSQN -DIVIDA ATIVA MULTAS JUROS"",""vlPrevisto"":""000000300000,00"",""nroSequencial"":""000041"",""content"":[{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145114"",""codFontRecursos"":""100"",""vlFontRecursos"":""000000156000,00"",""nroSequencial"":""000042""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145114"",""codFontRecursos"":""101"",""vlFontRecursos"":""000000084000,00"",""nroSequencial"":""000043""},{""tipoRegistro"":""11"",""codOrgao"":""03"",""codUnidade"":""01"",""rubrica"":""011145114"",""codFontRecursos"":""102"",""vlFontRecursos"":""000000060000,00"",""nroSequencial"":""000044""}]}",2025
